subid,group,remove
sst01,control,
sst02,control,
sst03,control,
sst04,control,
sst05,control,
sst06,control,
sst07,control,
sst09,control,
sst10,control,
sst11,control,
sst12,control,
sst13,control,
sst14,stress,
sst15,stress,
sst16,stress,
sst18,stress,
sst19,control,
sst20,stress,
sst21,control,
sst22,control,
sst23,control,
sst24,control,
sst26,control,
sst29,stress,
sst30,stress,
sst31,stress,
sst34,stress,
sst35,stress,
sst38,stress,
sst39,stress,
sst40,stress,
sst41,stress,
sst43,stress,
sst44,stress,
sst45,control,
sst46,stress,
sst48,control,
